                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                  1.014,                0.57731,                0.84983,                0.59432,                0.43495,                 0.4621,                0.28742,                  1.129,                0.80149,                0.87524,               0.005644,               0.005644,               0.005644
                    134,                 1.0081,                0.57435,                0.84844,                0.59523,                0.43293,                0.46123,                0.28705,                 1.1294,                0.80224,                0.87543,               0.005611,               0.005611,               0.005611
                    135,                  1.008,                0.57478,                0.84907,                0.59643,                0.43115,                0.46032,                0.28668,                 1.1293,                0.80231,                0.87534,               0.005578,               0.005578,               0.005578
                    136,                 1.0024,                0.57158,                0.84783,                0.59754,                0.42982,                0.46008,                0.28594,                 1.1295,                0.80255,                0.87529,               0.005545,               0.005545,               0.005545
                    137,                 1.0088,                0.57136,                0.84826,                 0.5879,                 0.4338,                0.45933,                0.28561,                 1.1293,                0.80252,                 0.8753,               0.005512,               0.005512,               0.005512
                    138,                  1.007,                0.56989,                0.84777,                0.59019,                0.43401,                0.45922,                0.28549,                 1.1291,                0.80288,                0.87526,               0.005479,               0.005479,               0.005479
                    139,                 1.0035,                0.56835,                0.84768,                0.59117,                 0.4325,                0.45889,                0.28509,                 1.1298,                0.80389,                0.87551,               0.005446,               0.005446,               0.005446
                    140,                 1.0051,                0.56969,                0.84776,                0.59027,                0.43227,                0.45895,                0.28517,                 1.1298,                0.80351,                0.87544,               0.005413,               0.005413,               0.005413
                    141,                 1.0041,                0.56718,                0.84709,                 0.5908,                 0.4332,                0.45911,                0.28504,                 1.1292,                0.80398,                 0.8753,                0.00538,                0.00538,                0.00538
                    142,                 1.0008,                0.56582,                0.84698,                0.58289,                0.43655,                0.45927,                0.28466,                 1.1295,                0.80435,                0.87531,               0.005347,               0.005347,               0.005347
                    143,                0.99937,                0.56526,                 0.8469,                0.58335,                0.43746,                0.45981,                0.28492,                 1.1296,                0.80404,                0.87535,               0.005314,               0.005314,               0.005314
                    144,                0.99587,                0.56109,                0.84726,                0.58609,                 0.4365,                0.45968,                0.28442,                 1.1295,                0.80388,                0.87521,               0.005281,               0.005281,               0.005281
                    145,                 1.0034,                0.56494,                 0.8476,                0.58054,                0.43817,                0.45913,                0.28429,                 1.1297,                0.80363,                0.87516,               0.005248,               0.005248,               0.005248
                    146,                0.99591,                0.56088,                0.84707,                0.57738,                0.43972,                0.45957,                0.28443,                 1.1302,                0.80444,                0.87526,               0.005215,               0.005215,               0.005215
                    147,                0.99808,                 0.5614,                0.84723,                0.58061,                0.43952,                0.45973,                0.28452,                 1.1304,                0.80475,                0.87529,               0.005182,               0.005182,               0.005182
                    148,                0.99274,                 0.5576,                0.84696,                0.57963,                0.43847,                0.45964,                0.28465,                 1.1304,                0.80477,                0.87523,               0.005149,               0.005149,               0.005149
                    149,                0.99326,                0.55587,                0.84556,                0.57636,                0.43949,                 0.4603,                0.28512,                 1.1309,                0.80512,                 0.8754,               0.005116,               0.005116,               0.005116
                    150,                0.98936,                0.55685,                0.84574,                0.57307,                0.44229,                0.46037,                0.28492,                  1.131,                0.80487,                0.87557,               0.005083,               0.005083,               0.005083
                    151,                0.98618,                0.55536,                0.84515,                0.57577,                0.44069,                0.46002,                0.28511,                 1.1315,                0.80536,                0.87559,                0.00505,                0.00505,                0.00505
                    152,                0.99202,                0.55367,                0.84441,                0.57524,                0.43951,                0.46022,                0.28538,                 1.1311,                0.80566,                0.87565,               0.005017,               0.005017,               0.005017
                    153,                0.98765,                0.55266,                0.84483,                 0.5764,                0.43963,                0.46052,                0.28538,                 1.1312,                 0.8059,                 0.8755,               0.004984,               0.004984,               0.004984
                    154,                0.98463,                0.55024,                0.84562,                 0.5778,                0.43787,                0.46036,                0.28546,                 1.1313,                0.80659,                0.87553,               0.004951,               0.004951,               0.004951
                    155,                0.99319,                 0.5541,                0.84612,                0.57745,                0.43844,                0.46018,                0.28513,                 1.1313,                0.80673,                 0.8755,               0.004918,               0.004918,               0.004918
                    156,                  0.983,                0.55049,                0.84486,                0.57632,                0.43784,                 0.4598,                0.28513,                 1.1317,                0.80659,                0.87559,               0.004885,               0.004885,               0.004885
                    157,                0.98414,                0.54974,                0.84426,                0.57485,                0.43931,                0.46003,                0.28529,                 1.1319,                0.80657,                0.87561,               0.004852,               0.004852,               0.004852
                    158,                 0.9842,                0.54993,                 0.8436,                0.57653,                 0.4379,                0.45939,                0.28506,                  1.132,                0.80631,                0.87561,               0.004819,               0.004819,               0.004819
                    159,                0.97792,                0.54836,                0.84348,                 0.5761,                0.43904,                0.45963,                0.28486,                 1.1322,                0.80631,                0.87567,               0.004786,               0.004786,               0.004786
